date,value
1980-01-31,
1980-02-29,
1980-03-31,
1980-04-30,
1980-05-31,
1980-06-30,
1980-07-31,0.7214641549497456
1980-08-31,0.7491496267206841
1980-09-30,0.8005387407105713
1980-10-31,0.8404244727506599
1980-11-30,0.8582047434970872
1980-12-31,0.845384951393692
1981-01-31,0.7782100178098237
1981-02-28,0.7434625922902255
1981-03-31,0.711290397822996
1981-04-30,0.562337247024644
1981-05-31,0.5177346091163935
1981-06-30,0.5675396357701059
1981-07-31,0.5776294998838706
1981-08-31,0.4931997204132196
1981-09-30,0.3478872768940201
1981-10-31,0.3712387610003577
1981-11-30,0.3468482142164539
1981-12-31,0.2693884907614666
1982-01-31,0.3318423755823926
1982-02-28,0.2963523582206541
1982-03-31,0.3407767701318546
1982-04-30,0.3864532909240556
1982-05-31,0.432396401364748
1982-06-30,0.4446384867995487
1982-07-31,0.3058509473839376
1982-08-31,0.3097406312752455
1982-09-30,0.3394445214426109
1982-10-31,0.3615470540243164
1982-11-30,0.3665421926893856
1982-12-31,0.3290218903499278
1983-01-31,0.2231747785171764
1983-02-28,0.2084974155372374
1983-03-31,0.1893440457480356
1983-04-30,0.1250340338509689
1983-05-31,0.094207284195265
1983-06-30,0.0650055470945556
1983-07-31,0.0371556388514154
1983-08-31,0.0185052771626817
1983-09-30,0.0143086250123915
1983-10-31,0.0093845581808832
1983-11-30,0.0090774072346769
1983-12-31,0.0091151918213667
1984-01-31,0.0059445632042631
1984-02-29,0.0040671333902857
1984-03-31,0.0026037439392254
1984-04-30,0.0025505364200572
1984-05-31,0.0023398881242745
1984-06-30,0.0028947623850468
1984-07-31,0.0040871217031714
1984-08-31,0.0053224469800858
1984-09-30,0.0072245504711369
1984-10-31,0.0054958737301381
1984-11-30,0.0057159386958431
1984-12-31,0.0236401535784587
1985-01-31,0.0408223164266552
1985-02-28,0.044840269454579
1985-03-31,0.049068926648946
1985-04-30,0.0439218973210482
1985-05-31,0.0614618830185285
1985-06-30,0.092580112369446
1985-07-31,0.0912006631637191
1985-08-31,0.1034966427679385
1985-09-30,0.1528745026723038
1985-10-31,0.1701944379048528
1985-11-30,0.1714127822463412
1985-12-31,0.1647193339062936
1986-01-31,0.1442387064057768
1986-02-28,0.1131591044572745
1986-03-31,0.1280727826313053
1986-04-30,0.0548675605417631
1986-05-31,0.0791949862128999
1986-06-30,0.0671563973091121
1986-07-31,0.0451604646275278
1986-08-31,0.0631862807726447
1986-09-30,0.0751481271400514
1986-10-31,0.0352395580456999
1986-11-30,0.0281999855309213
1986-12-31,0.0212505203237357
1987-01-31,0.0148389765144352
1987-02-28,0.0111854296372224
1987-03-31,0.0104636170785837
1987-04-30,0.0091460483059863
1987-05-31,0.0084366977042941
1987-06-30,0.0115951143277198
1987-07-31,0.0128115984731012
1987-08-31,0.0085657558849829
1987-09-30,0.0080003701139354
1987-10-31,0.006519811995844
1987-11-30,0.0072558672610917
1987-12-31,0.0082492115826121
1988-01-31,0.0089885966841562
1988-02-29,0.0096025816348511
1988-03-31,0.0157184619553044
1988-04-30,0.0153448152750231
1988-05-31,0.0168959721101242
1988-06-30,0.0210294794568359
1988-07-31,0.025619034575172
1988-08-31,0.0605387956406235
1988-09-30,0.0714380006226514
1988-10-31,0.1168095555240261
1988-11-30,0.0974725817709163
1988-12-31,0.0888360832295445
1989-01-31,0.1151836800020776
1989-02-28,0.1282527500672915
1989-03-31,0.1601175880743253
1989-04-30,0.1514876473271226
1989-05-31,0.152043847049874
1989-06-30,0.1546527320924553
1989-07-31,0.2169536775246066
1989-08-31,0.2337414576561064
1989-09-30,0.2664955171006942
1989-10-31,0.2861437435966263
1989-11-30,0.2600838333386048
1989-12-31,0.1730117523564712
1990-01-31,0.1940070157639779
1990-02-28,0.1942751772724537
1990-03-31,0.2501140004316692
1990-04-30,0.2126058279425626
1990-05-31,0.240704436247846
1990-06-30,0.2746425413379483
1990-07-31,0.1678925967627111
1990-08-31,0.1248591510236595
1990-09-30,0.1166507253617979
1990-10-31,0.1219468976548798
1990-11-30,0.106901051705382
1990-12-31,0.0850488476458211
1991-01-31,0.06642918566778
1991-02-28,0.0596173266391992
1991-03-31,0.0816406152214301
1991-04-30,0.1438415868001678
1991-05-31,0.1721387394245334
1991-06-30,0.1826321152959326
1991-07-31,0.2198599399945415
1991-08-31,0.1923586676837628
1991-09-30,0.1921650841076381
1991-10-31,0.0569917385002067
1991-11-30,0.0405830348789367
1991-12-31,0.0296828292793253
1992-01-31,0.0216279884325184
1992-02-29,0.0224824837720013
1992-03-31,0.0238699613678014
1992-04-30,0.0172590510240215
1992-05-31,0.0176354863350426
1992-06-30,0.0197612141747759
1992-07-31,0.0135538502832651
1992-08-31,0.0113703485517318
