date,gdp_growth
1980-03-31,1.4132583192514727
1980-06-30,1.6416419782050888
1980-09-30,1.7844868823150744
1980-12-31,2.1377352617264544
1981-03-31,2.0688037703912365
1981-06-30,1.882650059127298
1981-09-30,1.5123903008332835
1981-12-31,1.211759913119582
1982-03-31,0.6765441108632015
1982-06-30,0.5664092940321765
1982-09-30,0.6010211629212
1982-12-31,0.8356897673799908
1983-03-31,1.1702348228293622
1983-06-30,1.473918555537863
1983-09-30,1.6789529532760938
1983-12-31,1.7912516302012484
1984-03-31,1.7220924072264747
1984-06-30,1.5640754305752904
1984-09-30,1.4928849948782277
1984-12-31,1.2583692886764366
1985-03-31,1.179852410236759
1985-06-30,1.2300118470565955
1985-09-30,1.217006044456721
1985-12-31,1.0023039148867603
1986-03-31,0.961346799574198
1986-06-30,0.8587597913769578
1986-09-30,1.2344635298507702
1986-12-31,1.3618460558859398
1987-03-31,1.543446900264434
1987-06-30,1.6550294671095234
1987-09-30,1.9917321050120127
1987-12-31,1.7876244760212998
1988-03-31,1.822434809872678
1988-06-30,1.9345899396739032
1988-09-30,1.834359638653846
1988-12-31,1.7168305376916928
1989-03-31,1.6811462475436871
1989-06-30,1.8168343369168425
1989-09-30,1.7601220673346714
1989-12-31,1.640433230816092
1990-03-31,1.6847427831251134
1990-06-30,1.6775403784633696
1990-09-30,1.4724374234823756
1990-12-31,1.4187655423477683
1991-03-31,1.4387610240617563
1991-06-30,1.3883255232627114
1991-09-30,1.3927388845974953
1991-12-31,1.4242534542519405
1992-03-31,1.3934883085536365
1992-06-30,1.3596797109437695
1992-09-30,1.4038670186284303
1992-12-31,1.3026211645316372
1993-03-31,1.1699867983495913
1993-06-30,1.0637885879648794
1993-09-30,1.0621452338523578
1993-12-31,0.9855461267568886
1994-03-31,1.045756032447262
1994-06-30,1.0779584351636928
1994-09-30,1.2960386200106184
1994-12-31,1.1670512780361686
1995-03-31,1.1713610863014503
1995-06-30,1.1359763120652346
1995-09-30,1.033276256921254
1995-12-31,1.057655931418095
1996-03-31,1.167501384952285
1996-06-30,1.196173573532947
1996-09-30,1.2619788670298395
1996-12-31,1.13891141426886
1997-03-31,1.3035046626927502
1997-06-30,1.4352414252453145
1997-09-30,1.478801839609976
1997-12-31,1.395618071225852
1998-03-31,1.2891609055982376
1998-06-30,1.2219790832102178
1998-09-30,1.0288682115930945
1998-12-31,0.7727525119010638
1999-03-31,0.937762088078632
1999-06-30,0.9867657897755252
1999-09-30,1.2611774507615992
1999-12-31,1.66316368553496
2000-03-31,1.7282792507459772
2000-06-30,1.9195396282587152
2000-09-30,1.811471002924627
2000-12-31,1.6174126043463342
2001-03-31,1.5960198996798958
2001-06-30,1.6444384109134451
2001-09-30,1.5107155684938791
2001-12-31,1.2936560219577746
2002-03-31,1.2381038177996253
2002-06-30,1.0262101752375488
