date,ip_growth
1980-01-31,2.3901207837578404
1980-02-29,2.301205137086299
1980-03-31,2.881886537836097
1980-04-30,1.66127431777347
1980-05-31,1.281501127056004
1980-06-30,0.8266403826301487
1980-07-31,1.4307862859006033
1980-08-31,1.5191916925082996
1980-09-30,1.168411009536368
1980-10-31,1.6447658542583354
1980-11-30,2.4062134192335227
1980-12-31,2.6672360108115747
1981-01-31,1.7733199962234365
1981-02-28,1.862187805002284
1981-03-31,2.146466843311689
1981-04-30,2.290208884083961
1981-05-31,2.5681041799424964
1981-06-30,2.562682441714916
1981-07-31,0.930212677215036
1981-08-31,-0.0897761770423437
1981-09-30,-0.4887468852605228
1981-10-31,-1.067041264227111
1981-11-30,-1.8125879115922103
1981-12-31,-2.5355671688789436
1982-01-31,-5.501953853007251
1982-02-28,-5.322336136266971
1982-03-31,-6.397081465654432
1982-04-30,-6.417612750663309
1982-05-31,-6.6548018844542565
1982-06-30,-6.285133553778559
1982-07-31,-4.862843320624627
1982-08-31,-5.120176768974579
1982-09-30,-4.700379100718111
1982-10-31,-3.5194349706952717
1982-11-30,-2.768997455070682
1982-12-31,-1.528704354620034
1983-01-31,-0.033990183345143
1983-02-28,0.2929249073666236
1983-03-31,0.8850900712111776
1983-04-30,3.441339576093063
1983-05-31,4.42347723235908
1983-06-30,6.050316697414322
1983-07-31,6.9563247071797125
1983-08-31,7.136878052939297
1983-09-30,7.377998081490297
1983-10-31,7.239623740746351
1983-11-30,7.781516452453106
1983-12-31,7.264058341216621
1984-01-31,7.637022786124643
1984-02-29,8.276093370840119
1984-03-31,6.328540918064098
1984-04-30,5.017154825549362
1984-05-31,4.146906200860247
1984-06-30,3.882857144894705
1984-07-31,2.774071840852096
1984-08-31,1.7396962243444265
1984-09-30,1.0500207754309825
1984-10-31,0.4222753903755465
1984-11-30,-0.2233495274525572
1984-12-31,-0.7880038233200932
1985-01-31,-1.5517448553109414
1985-02-28,-1.9688843176351585
1985-03-31,-1.8825189889636933
1985-04-30,-1.5986335079963223
1985-05-31,-1.808145435700311
1985-06-30,-1.628021684651741
1985-07-31,-1.192489907527242
1985-08-31,-1.3047656371385803
1985-09-30,-0.730772611868423
1985-10-31,0.6464567528944564
1985-11-30,0.2357498323105211
1985-12-31,0.62155056431641
1986-01-31,1.3620347099739143
1986-02-28,1.624406901924375
1986-03-31,2.143170209716301
1986-04-30,2.041439430252898
1986-05-31,2.4327523618561626
1986-06-30,2.4665754847448813
1986-07-31,2.3165006325428936
1986-08-31,1.89323732069324
1986-09-30,1.5069575776159194
1986-10-31,1.0838021263857966
1986-11-30,1.3045771548150609
1986-12-31,1.9455955375399672
1987-01-31,4.2488035103567015
1987-02-28,4.446837690713232
1987-03-31,3.7692208201259447
1987-04-30,5.274723410938551
1987-05-31,5.3243018097482135
1987-06-30,4.5223266577760555
1987-07-31,5.946400954227274
1987-08-31,6.286115020361795
1987-09-30,5.918338634678507
1987-10-31,4.554111158765849
1987-11-30,2.825292614241912
1987-12-31,2.890099157548825
1988-01-31,2.306870667997251
1988-02-29,1.7100503411116994
1988-03-31,1.3351345048839154
1988-04-30,0.7815254712481232
1988-05-31,0.4521841022675252
1988-06-30,-0.1492528627514782
1988-07-31,-0.8234062723393176
1988-08-31,-0.6408926625108569
1988-09-30,-0.6748586633345197
1988-10-31,-1.9587228740451237
1988-11-30,-2.849757791643547
1988-12-31,-2.9921587170883712
1989-01-31,-3.111883369445039
1989-02-28,-3.1496826885383444
1989-03-31,-0.9948678775913606
1989-04-30,-1.3774356443789086
1989-05-31,-1.834709797062444
1989-06-30,-1.5210989778967066
1989-07-31,-1.6785388342991854
1989-08-31,-2.046976405033493
1989-09-30,-2.621873001175048
1989-10-31,-2.0005980706181
1989-11-30,-2.0557741912642045
1989-12-31,-1.4929682179190435
1990-01-31,-1.913155263509199
1990-02-28,-2.3816830682336954
1990-03-31,-1.3614605349664315
1990-04-30,-0.700028189933954
1990-05-31,-0.6242225499605989
1990-06-30,-0.969772150236559
1990-07-31,-1.8636406537194656
1990-08-31,-1.7103148245864983
1990-09-30,-2.0960100768895256
1990-10-31,-1.3383342243443712
1990-11-30,-1.4647536291917405
1990-12-31,-1.579886111562308
1991-01-31,-1.4001138921957503
1991-02-28,-1.574256464989877
1991-03-31,-1.3471464169606646
1991-04-30,-2.1438035232113175
1991-05-31,-2.1839159636727348
1991-06-30,-1.9371318674718747
1991-07-31,-1.15720990921084
1991-08-31,-1.6363936305002018
1991-09-30,-1.9400340285339424
1991-10-31,-2.187305799872705
1991-11-30,-1.3085254480182744
1991-12-31,0.0634122053922026
1992-01-31,0.3454379893108268
1992-02-29,0.3401338625346282
1992-03-31,0.1960681266827144
1992-04-30,0.5960646230387117
1992-05-31,0.6405159610741077
1992-06-30,-0.0087768448119609
1992-07-31,0.3752363508684566
1992-08-31,0.75238757195979
1992-09-30,1.0937066701339662
1992-10-31,1.896475614222322
1992-11-30,1.3469795657775692
1992-12-31,0.994463220519928
1993-01-31,0.8157433506647548
1993-02-28,0.7250254249782891
1993-03-31,0.3742079614685003
