date,ip_growth
1985-01-31,2.3384010314307506
1985-02-28,2.4560843004438286
1985-03-31,2.507670476266406
1985-04-30,2.715111570458884
1985-05-31,2.5828379110954756
1985-06-30,2.680795516346353
1985-07-31,1.704258557416958
1985-08-31,2.467456935514295
1985-09-30,3.2547396767949124
1985-10-31,3.352315763158628
1985-11-30,3.904375002019708
1985-12-31,4.748601665896265
1986-01-31,4.726781446839467
1986-02-28,4.267771041062179
1986-03-31,4.7478799765046125
1986-04-30,3.5035874959265834
1986-05-31,1.9071634878396655
1986-06-30,2.4083534183337276
1986-07-31,6.110171940206125
1986-08-31,6.915620507351241
1986-09-30,7.214844682761404
1986-10-31,7.3851516267607185
1986-11-30,8.026803552929252
1986-12-31,8.0404161438325
1987-01-31,7.790008197314607
1987-02-28,7.409388731403617
1987-03-31,6.7360260072821125
1987-04-30,7.022862935248799
1987-05-31,8.010094591790379
1987-06-30,8.102698548851723
1987-07-31,8.703133740857183
1987-08-31,8.633079209570981
1987-09-30,8.190903455802543
1987-10-31,7.4227006254756
1987-11-30,6.341295392276463
1987-12-31,5.4900802516450495
1988-01-31,5.09163001719653
1988-02-29,5.621828153561736
1988-03-31,4.919139847331936
1988-04-30,3.9020845349119
1988-05-31,1.1965865108928255
1988-06-30,1.264976972474566
1988-07-31,-1.9007629042515568
1988-08-31,-1.404196710440245
1988-09-30,-1.2349370452731518
1988-10-31,-1.6835144413334568
1988-11-30,-2.1258466162780563
1988-12-31,-2.4737608124637767
1989-01-31,-2.578374092815237
1989-02-28,-1.9930534776442048
1989-03-31,-1.7059771573559657
1989-04-30,-2.273430896143548
1989-05-31,-2.694814491460134
1989-06-30,-2.7326369969645135
1989-07-31,-3.4608142685347687
1989-08-31,-3.212434653493941
1989-09-30,-0.8839049669406116
1989-10-31,-0.4329111757741706
1989-11-30,-0.7651950447556897
1989-12-31,-0.2629111800748511
1990-01-31,-0.3331067384851127
1990-02-28,-0.8870481900522382
1990-03-31,-1.1910289810033958
1990-04-30,0.0123449218592606
1990-05-31,0.2053128297968816
1990-06-30,0.8780328365071526
1990-07-31,0.3882198140383426
1990-08-31,1.6366666882920355
1990-09-30,2.989659552844821
1990-10-31,2.3850782897805844
1990-11-30,1.8762195362390397
1990-12-31,1.568805902444398
1991-01-31,-1.0992394519012212
1991-02-28,-2.393099063873004
1991-03-31,-3.2443407367541433
1991-04-30,-3.158876291982749
1991-05-31,-2.6877434136986973
1991-06-30,-2.382133626988137
1991-07-31,1.2170007827162517
1991-08-31,2.402377573266885
1991-09-30,2.8891745175023127
1991-10-31,3.895446625792911
1991-11-30,3.65866033947056
1991-12-31,3.246780857737085
1992-01-31,3.544738622827542
1992-02-29,3.5036992704601575
1992-03-31,3.134989835277226
1992-04-30,4.366242647164295
1992-05-31,5.2880445777664065
1992-06-30,6.311251288328899
1992-07-31,5.679897227752986
1992-08-31,5.408147545092212
1992-09-30,5.698156717010658
1992-10-31,4.728819146963548
1992-11-30,4.177640932410241
1992-12-31,3.107443438065443
1993-01-31,3.03247105169981
1993-02-28,3.323302600542083
1993-03-31,3.2219219521831075
1993-04-30,3.4674208111410874
1993-05-31,3.983024563906293
1993-06-30,4.1039317192173215
1993-07-31,4.090644206364768
1993-08-31,3.983856055370702
1993-09-30,3.4127760165082206
1993-10-31,2.9564790138855943
1993-11-30,3.2914338523789057
1993-12-31,3.078098133238966
1994-01-31,3.536329144821614
1994-02-28,3.672981140579169
1994-03-31,3.98306026832475
1994-04-30,3.801665253799512
1994-05-31,3.809182451214549
1994-06-30,3.4860103575987877
1994-07-31,2.878483290860591
1994-08-31,2.9019244412123575
1994-09-30,2.944018084662485
1994-10-31,3.14880168681477
1994-11-30,3.46065704702857
1994-12-31,3.3367217582861475
1995-01-31,3.6356942799607586
1995-02-28,3.20951182281542
1995-03-31,3.124051424675593
1995-04-30,3.022186142681071
1995-05-31,2.208559827510468
1995-06-30,2.245512429610069
1995-07-31,2.348933530033231
1995-08-31,2.3390873373315264
1995-09-30,2.3219471469303423
1995-10-31,3.155375358410463
1995-11-30,3.1750956972027655
1995-12-31,2.913920008627522
1996-01-31,3.2084913628601344
1996-02-29,3.6721401593207696
1996-03-31,3.764964352371803
1996-04-30,3.817103967148484
1996-05-31,3.895537285298026
1996-06-30,3.6440510970184423
1996-07-31,3.683347078327511
1996-08-31,4.529136731316528
1996-09-30,4.154302302545091
1996-10-31,4.337730861296249
1996-11-30,4.323245068075377
1996-12-31,4.237291648381505
1997-01-31,4.793731081648848
1997-02-28,4.604786145629667
1997-03-31,4.202934872930863
1997-04-30,4.763361112319491
1997-05-31,4.857680781219042
1997-06-30,4.854037567894931
1997-07-31,5.636998259935288
1997-08-31,5.829286267672311
1997-09-30,6.163597411417606
1997-10-31,6.689649308420296
1997-11-30,6.549430673104251
1997-12-31,5.890193215353536
1998-01-31,5.722656846108263
1998-02-28,5.816356498059308
1998-03-31,5.333660265178137
1998-04-30,4.907124546387483
1998-05-31,4.675554368017629
1998-06-30,4.317847904401393
1998-07-31,5.093606420434158
1998-08-31,5.417447624081045
1998-09-30,5.221607664836785
1998-10-31,5.1155375137429
1998-11-30,5.501312580996345
1998-12-31,5.203709706843496
1999-01-31,4.661846376823018
1999-02-28,4.108858220754553
1999-03-31,3.545877522342502
1999-04-30,4.457594897365137
1999-05-31,4.691233918755517
1999-06-30,4.5211597610954595
1999-07-31,4.11032993530953
1999-08-31,4.465058678612585
1999-09-30,4.785396138416398
1999-10-31,4.685008140084358
1999-11-30,4.239936229451909
1999-12-31,3.0436837414836284
2000-01-31,2.838228458284
2000-02-29,2.4076267085694383
2000-03-31,3.0948804293285934
2000-04-30,4.097975509144292
2000-05-31,4.991438817587036
2000-06-30,5.573892377339849
2000-07-31,4.721153497763346
2000-08-31,4.733458857262779
2000-09-30,4.32482724502275
2000-10-31,4.040488358635812
2000-11-30,3.7055134931001
2000-12-31,3.101925465295269
2001-01-31,2.235004007822752
2001-02-28,1.872380224016144
2001-03-31,1.569769873157224
2001-04-30,1.9925476359565053
2001-05-31,0.1666032501341261
2001-06-30,0.3300691942725429
2001-07-31,-1.3408871723300253
2001-08-31,-1.646109768668941
2001-09-30,-2.1852343049096956
2001-10-31,0.1150981154769188
2001-11-30,0.9082256401830444
2001-12-31,0.2911868700281999
2002-01-31,0.9715421001340784
2002-02-28,1.30541267696352
2002-03-31,1.9895333527301375
2002-04-30,2.5858903705281286
2002-05-31,3.1562475544444197
2002-06-30,4.20499268855938
2002-07-31,5.318420698203598
2002-08-31,5.387855464489467
2002-09-30,5.968833613901924
2002-10-31,5.39777415608088
2002-11-30,5.213832157441381
2002-12-31,5.701266127331497
2003-01-31,3.6371159197507423
2003-02-28,3.1012114494134915
2003-03-31,2.2489991505358424
2003-04-30,2.6105780670226215
2003-05-31,2.311814487631167
2003-06-30,2.2409016013313003
2003-07-31,1.9407897118429724
2003-08-31,1.7965526659864397
2003-09-30,1.8397029611866844
2003-10-31,3.064690547985439
2003-11-30,3.761337972763255
2003-12-31,2.885247995630892
2004-01-31,3.3311866857458527
2004-02-29,4.109218573419626
2004-03-31,4.154598361975058
2004-04-30,4.27844508147921
2004-05-31,4.058615913582559
2004-06-30,4.975084996525294
2004-07-31,4.850480353439808
2004-08-31,4.693334886376949
2004-09-30,4.517328448158397
2004-10-31,4.928804582603302
2004-11-30,4.731705383911424
2004-12-31,4.739430702923356
2005-01-31,4.790306794586231
2005-02-28,4.689172975056117
2005-03-31,3.7948341897430455
2005-04-30,3.2468822710258674
2005-05-31,2.6447606206117436
2005-06-30,2.6765835528295363
2005-07-31,3.951745325801395
2005-08-31,4.145775708853138
2005-09-30,3.417117489746362
2005-10-31,2.8764460377509273
2005-11-30,2.672084310196037
2005-12-31,2.648720979935975
2006-01-31,1.7479528412510077
2006-02-28,1.664202400791078
2006-03-31,0.8728251679904515
2006-04-30,1.2842244831577123
2006-05-31,1.039655097790893
2006-06-30,1.2241940542763703
2006-07-31,0.8557405698942149
2006-08-31,1.0230385937264832
2006-09-30,1.8571381264663356
2006-10-31,1.1525123466263554
2006-11-30,1.7541492362027915
2006-12-31,1.5301791202565695
2007-01-31,1.494496651818335
2007-02-28,1.4190087795899424
2007-03-31,0.9222359044501844
2007-04-30,1.128722644601191
2007-05-31,1.463267040193997
2007-06-30,2.024383914982902
2007-07-31,2.268154778054859
2007-08-31,1.977425894525687
2007-09-30,2.2971146469829407
2007-10-31,2.354839318188505
2007-11-30,2.768415939146565
2007-12-31,2.2743864883014138
2008-01-31,2.6305309601302036
2008-02-29,2.397359494631163
2008-03-31,2.7143441702809055
2008-04-30,1.6697416708046906
2008-05-31,0.3915108222017045
2008-06-30,0.4663239845968709
2008-07-31,-0.0941451293791133
2008-08-31,-1.0908829045616466
2008-09-30,-1.3723778154447506
2008-10-31,-2.939799946692953
2008-11-30,-4.500841859358192
2008-12-31,-4.731752201292472
2009-01-31,-5.946491856114596
2009-02-28,-6.888888895475716
2009-03-31,-7.499223158408775
2009-04-30,-3.7851413506848113
2009-05-31,-2.379505596923582
2009-06-30,-2.5580098603785077
2009-07-31,0.5218883012089943
2009-08-31,3.7472326501223385
2009-09-30,5.783802136606745
2009-10-31,8.2743889650867
2009-11-30,9.30721453925318
2009-12-31,10.601742746318251
2010-01-31,11.412638239174656
2010-02-28,12.710566875842344
2010-03-31,14.03807308393998
2010-04-30,13.43677140721333
2010-05-31,11.323196292288976
2010-06-30,11.574220981789662
2010-07-31,9.734324253870287
2010-08-31,9.031035840807505
2010-09-30,7.5664381166572285
2010-10-31,5.524602504334284
2010-11-30,4.267304062309495
2010-12-31,1.158878372662811
2011-01-31,1.4089873095859118
2011-02-28,2.041100816665778
2011-03-31,1.1367458892705966
2011-04-30,1.5084250463793998
2011-05-31,1.3257586128815353
2011-06-30,1.143526511917467
2011-07-31,1.3477826756688187
2011-08-31,1.8077907846481656
2011-09-30,1.104132920317557
2011-10-31,0.4298637690771363
2011-11-30,-0.7228771250035357
2011-12-31,-0.8045186679353253
2012-01-31,-1.7363877831000678
2012-02-29,-2.965210495952056
2012-03-31,-1.9480786921801532
2012-04-30,-1.8355208448395135
2012-05-31,-1.3664558986790094
2012-06-30,-1.7720245516765354
2012-07-31,-0.9982582087634956
2012-08-31,-0.0290296525184727
2012-09-30,-0.3136567110231083
2012-10-31,0.1251285671900106
2012-11-30,-0.2722396306460626
2012-12-31,-0.2561276344422523
2013-01-31,0.8460579566157456
2013-02-28,1.3473869813455612
2013-03-31,2.5880455666777027
2013-04-30,2.850069091791875
2013-05-31,2.220361811913128
2013-06-30,2.7406489816555974
2013-07-31,3.001292290379369
2013-08-31,3.8353376085426873
2013-09-30,3.8614285524031473
2013-10-31,3.862355268426483
2013-11-30,4.241841666255128
2013-12-31,3.168179860950267
2014-01-31,3.539310305480857
2014-02-28,4.2024875237092285
2014-03-31,5.0074612725368475
2014-04-30,4.939116257211772
2014-05-31,5.385343265356184
2014-06-30,4.872111876543287
2014-07-31,5.049689607383861
2014-08-31,4.809067552235856
2014-09-30,4.636382359227812
2014-10-31,4.585576421715375
2014-11-30,4.789882174418546
2014-12-31,4.440682480413642
2015-01-31,3.698471928345848
2015-02-28,3.147404114217194
2015-03-31,2.721817832150303
2015-04-30,3.0298283876753045
2015-05-31,3.7065109727391663
2015-06-30,2.932179471922847
2015-07-31,5.359030932734041
2015-08-31,6.224750574517103
2015-09-30,6.090899429683041
2015-10-31,5.799597689613207
2015-11-30,5.736206481317441
2015-12-31,5.518510243838788
2016-01-31,4.626424767136993
2016-02-29,4.077203143713196
2016-03-31,3.8989845087955777
2016-04-30,3.963525971662377
2016-05-31,3.228204652267418
2016-06-30,3.1338093825427693
2016-07-31,4.335656843094037
2016-08-31,4.726570208289049
2016-09-30,4.592808994838969
2016-10-31,4.04094341523768
2016-11-30,3.942952644156396
2016-12-31,2.6143880026591244
2017-01-31,3.402399691939906
2017-02-28,4.048331048500633
2017-03-31,3.993170706255193
2017-04-30,3.3631128679375006
2017-05-31,2.565438551622999
2017-06-30,3.646683149041857
2017-07-31,3.2267475140763855
2017-08-31,3.570347986230515
2017-09-30,3.259229452526802
2017-10-31,3.7359131175653673
2017-11-30,4.156220008088992
2017-12-31,3.495975926495526
2018-01-31,3.1753899330150133
2018-02-28,2.940016241165303
2018-03-31,2.864152050266676
2018-04-30,0.6627604902962663
2018-05-31,-3.0674680340136424
2018-06-30,-3.68941207314488
2018-07-31,-2.279380593695649
2018-08-31,-0.3772317900269368
2018-09-30,0.4153871221038929
2018-10-31,-0.6920852512672095
2018-11-30,-0.1591382705536492
2018-12-31,-1.033618969487525
2019-01-31,-1.1050947265028448
2019-02-28,-2.0055288372344293
2019-03-31,-2.35871396908158
2019-04-30,-2.2486842829379254
2019-05-31,-2.991168085728714
2019-06-30,-3.3326746247860903
2019-07-31,-2.673489693231333
2019-08-31,-3.1455520757223754
2019-09-30,-2.161263078430738
2019-10-31,-1.0865024079765278
2019-11-30,-0.790938079442697
2019-12-31,-0.8947304845572053
2020-01-31,-0.7818062458410677
2020-02-29,-0.5017328685864748
2020-03-31,-0.7075300548592893
2020-04-30,-1.0850552919514158
2020-05-31,-1.6057062023435964
