date,payout_ratio
1987-08-04,0.33781007
1987-08-05,0.33886513
1987-08-06,0.33876014
1987-08-07,0.3389815
1987-08-08,0.33899426
1987-08-09,0.33899426
1987-08-10,0.33893323
1987-08-11,0.33854795
1987-08-12,0.3383513
1987-08-13,0.33831984
1987-08-14,0.33840734
1987-08-15,0.33840945
1987-08-16,0.33840945
1987-08-17,0.3383679
1987-08-18,0.33811525
1987-08-19,0.33945894
1987-08-20,0.33926302
1987-08-21,0.33921102
1987-08-22,0.33921832
1987-08-23,0.33921814
1987-08-24,0.3391468
1987-08-25,0.3391141
1987-08-26,0.33891883
1987-08-27,0.33900028
1987-08-28,0.3389806
1987-08-29,0.3389806
1987-08-30,0.3389896
1987-08-31,0.3389595
1987-09-01,0.33897325
1987-09-02,0.3390794
1987-09-03,0.33897558
1987-09-04,0.33892098
1987-09-05,0.33892098
1987-09-06,0.33892098
1987-09-07,0.33892098
1987-09-08,0.3389171
1987-09-09,0.33147383
1987-09-10,0.33102375
1987-09-11,0.33105457
1987-09-12,0.33105457
1987-09-13,0.33105457
1987-09-14,0.33110023
1987-09-15,0.33105293
1987-09-16,0.33109024
1987-09-17,0.33078182
1987-09-18,0.3307059
1987-09-19,0.33072257
1987-09-20,0.3307236
1987-09-21,0.33062223
1987-09-22,0.330617
1987-09-23,0.33072513
1987-09-24,0.3307539
1987-09-25,0.33057782
1987-09-26,0.33057782
1987-09-27,0.33057782
1987-09-28,0.3304952
1987-09-29,0.33053052
1987-09-30,0.33062366
1987-10-01,0.33054766
1987-10-02,0.33054742
1987-10-03,0.33054742
1987-10-04,0.33054742
1987-10-05,0.33055764
1987-10-06,0.33057538
1987-10-07,0.33066818
1987-10-08,0.33054307
1987-10-09,0.33005276
1987-10-10,0.33004838
1987-10-11,0.33003938
1987-10-12,0.32998586
1987-10-13,0.32949588
1987-10-14,0.33031362
1987-10-15,0.331176
1987-10-16,0.3265227
1987-10-17,0.32652852
1987-10-18,0.3265183
1987-10-19,0.32637113
1987-10-20,0.32590747
1987-10-21,0.32485813
1987-10-22,0.32474232
1987-10-23,0.32645285
1987-10-24,0.32656902
1987-10-25,0.32656533
1987-10-26,0.3269176
1987-10-27,0.3342965
1987-10-28,0.33656132
1987-10-29,0.33677438
1987-10-30,0.33661595
1987-10-31,0.3365575
1987-11-01,0.33661503
1987-11-02,0.33602574
1987-11-03,0.3359039
1987-11-04,0.3357689
1987-11-05,0.33584017
1987-11-06,0.33549666
1987-11-07,0.33554247
1987-11-08,0.33554247
1987-11-09,0.33538267
1987-11-10,0.3353264
1987-11-11,0.33500984
1987-11-12,0.33487538
1987-11-13,0.33409396
1987-11-14,0.3408872
1987-11-15,0.34088632
1987-11-16,0.34127438
1987-11-17,0.3396659
1987-11-18,0.3406741
1987-11-19,0.3400452
1987-11-20,0.33998016
1987-11-21,0.33998802
1987-11-22,0.3400335
1987-11-23,0.3397315
1987-11-24,0.339525
1987-11-25,0.33914393
1987-11-26,0.33914393
1987-11-27,0.33921254
1987-11-28,0.33921254
1987-11-29,0.33921254
1987-11-30,0.34960836
1987-12-01,0.34953833
1987-12-02,0.34950173
1987-12-03,0.34952268
1987-12-04,0.34948567
1987-12-05,0.34948525
1987-12-06,0.34948525
1987-12-07,0.34960765
1987-12-08,0.34948453
1987-12-09,0.34945956
1987-12-10,0.34926108
1987-12-11,0.34925655
1987-12-12,0.34925953
1987-12-13,0.3493244
1987-12-14,0.34931695
1987-12-15,0.3492353
1987-12-16,0.34920672
1987-12-17,0.3492643
1987-12-18,0.34996808
1987-12-19,0.34997135
1987-12-20,0.34997022
1987-12-21,0.3500364
1987-12-22,0.34998935
1987-12-23,0.34999654
1987-12-24,0.35000184
1987-12-25,0.35000184
1987-12-26,0.35000184
1987-12-27,0.35000005
1987-12-28,0.35000005
1987-12-29,0.34998944
1987-12-30,0.34998548
1987-12-31,0.34997287
1988-01-01,0.34997347
1988-01-02,0.34997347
1988-01-03,0.34997347
1988-01-04,0.34986857
1988-01-05,0.34984493
1988-01-06,0.3497411
1988-01-07,0.34925315
1988-01-08,0.3492884
1988-01-09,0.3492884
1988-01-10,0.3492884
1988-01-11,0.3487867
1988-01-12,0.34851095
1988-01-13,0.34799355
1988-01-14,0.34812382
1988-01-15,0.34756488
1988-01-16,0.34756488
1988-01-17,0.34756488
1988-01-18,0.345889
1988-01-19,0.3380183
1988-01-20,0.33710736
1988-01-21,0.33609286
1988-01-22,0.33572057
1988-01-23,0.3357212
1988-01-24,0.33571175
1988-01-25,0.33142447
1988-01-26,0.33473113
1988-01-27,0.3385311
1988-01-28,0.33949742
1988-01-29,0.33915004
1988-01-30,0.33922285
1988-01-31,0.33922285
1988-02-01,0.33833608
1988-02-02,0.33777314
1988-02-03,0.33950603
1988-02-04,0.33874646
1988-02-05,0.33625427
1988-02-06,0.33625427
1988-02-07,0.33625427
1988-02-08,0.3360118
1988-02-09,0.3352635
1988-02-10,0.33595812
1988-02-11,0.33560312
1988-02-12,0.3353162
1988-02-13,0.33550504
1988-02-14,0.333855
1988-02-15,0.33347154
1988-02-16,0.33415103
1988-02-17,0.3344876
1988-02-18,0.3427321
1988-02-19,0.34201744
1988-02-20,0.34201744
1988-02-21,0.3418204
1988-02-22,0.34180558
1988-02-23,0.34085244
1988-02-24,0.34089002
1988-02-25,0.33139923
1988-02-26,0.33173463
1988-02-27,0.33174193
1988-02-28,0.33321187
1988-02-29,0.3332971
1988-03-01,0.33249387
1988-03-02,0.33121204
1988-03-03,0.3358311
1988-03-04,0.3358871
1988-03-05,0.3359246
1988-03-06,0.3359246
1988-03-07,0.3356408
1988-03-08,0.33541143
